iter	Passed	Remaining
0	142	141910
1	146	72891
2	150	49901
3	154	38393
4	157	31398
5	161	26802
6	165	23484
7	170	21123
8	173	19159
9	177	17617
10	181	16347
11	185	15277
12	189	14412
13	193	13636
14	197	12949
15	200	12348
16	204	11809
17	222	12155
18	227	11724
19	230	11300
20	234	10924
21	238	10624
22	242	10304
23	246	10005
24	249	9724
25	253	9501
26	257	9280
27	261	9063
28	264	8853
29	267	8653
30	271	8482
31	275	8321
32	278	8170
33	282	8017
34	286	7886
35	289	7744
36	292	7614
37	295	7491
38	299	7371
39	303	7272
40	306	7165
41	309	7062
42	313	6967
43	316	6876
44	319	6790
45	323	6709
46	326	6629
47	330	6559
48	334	6485
49	337	6419
50	341	6347
51	344	6273
52	347	6210
53	350	6146
54	354	6086
55	358	6037
56	362	5992
57	365	5942
58	369	5891
59	372	5842
60	376	5801
61	380	5757
62	384	5711
63	387	5667
64	391	5630
65	395	5594
66	398	5555
67	402	5512
68	405	5472
69	408	5431
70	412	5391
71	415	5354
72	418	5314
73	421	5278
74	425	5243
75	428	5206
76	431	5170
77	434	5135
78	437	5105
79	441	5077
80	445	5050
81	448	5020
82	452	4993
83	455	4967
84	458	4937
85	461	4909
86	465	4881
87	468	4859
88	472	4834
89	475	4806
90	478	4781
91	481	4752
92	484	4728
93	487	4702
94	490	4677
95	494	4654
96	498	4637
97	501	4614
98	504	4591
99	507	4566
100	510	4541
101	513	4521
102	517	4503
103	520	4485
104	524	4468
105	527	4447
106	530	4431
107	534	4414
108	537	4395
109	540	4375
110	544	4357
111	547	4342
112	550	4325
113	554	4307
114	557	4288
115	560	4271
116	563	4253
117	566	4234
118	569	4216
119	572	4199
120	575	4182
121	578	4165
122	581	4149
123	584	4131
124	587	4115
125	591	4100
126	594	4085
127	597	4071
128	600	4057
129	604	4042
130	607	4030
131	611	4018
132	614	4003
133	617	3989
134	620	3976
135	623	3963
136	627	3950
137	630	3937
138	633	3926
139	637	3917
140	640	3904
141	643	3890
142	647	3877
143	649	3863
144	653	3851
145	656	3838
146	659	3827
147	662	3815
148	665	3803
149	669	3792
150	672	3781
151	675	3769
152	678	3757
153	681	3746
154	685	3736
155	688	3724
156	691	3712
157	694	3701
158	697	3690
159	701	3680
160	704	3669
161	707	3660
162	710	3650
163	714	3640
164	717	3630
165	720	3620
166	723	3609
167	726	3598
168	729	3588
169	732	3578
170	736	3568
171	739	3559
172	742	3550
173	745	3541
174	749	3532
175	752	3523
176	756	3515
177	759	3506
178	762	3497
179	765	3488
180	768	3479
181	771	3469
182	775	3461
183	778	3453
184	781	3444
185	784	3434
186	788	3427
187	792	3420
188	795	3413
189	799	3407
190	802	3399
191	806	3391
192	809	3384
193	812	3375
194	815	3367
195	819	3359
196	822	3351
197	825	3344
198	829	3337
199	832	3329
200	835	3320
201	839	3314
202	851	3343
203	855	3336
204	858	3328
205	861	3321
206	865	3314
207	868	3308
208	872	3300
209	875	3292
210	878	3284
211	881	3277
212	884	3268
213	887	3260
214	890	3252
215	894	3245
216	897	3237
217	900	3229
218	903	3222
219	907	3215
220	910	3208
221	913	3200
222	916	3193
223	919	3186
224	923	3179
225	926	3173
226	929	3165
227	932	3158
228	936	3151
229	939	3144
230	942	3137
231	945	3130
232	949	3124
233	952	3117
234	955	3111
235	959	3104
236	962	3098
237	965	3091
238	968	3084
239	972	3079
240	975	3072
241	978	3066
242	981	3058
243	984	3051
244	988	3045
245	991	3037
246	994	3031
247	997	3025
248	1001	3019
249	1004	3013
250	1007	3006
251	1010	2999
252	1013	2993
253	1016	2986
254	1019	2979
255	1022	2972
256	1026	2966
257	1029	2961
258	1032	2955
259	1036	2950
260	1039	2944
261	1043	2938
262	1046	2933
263	1050	2927
264	1053	2922
265	1056	2916
266	1059	2909
267	1063	2903
268	1065	2896
269	1068	2889
270	1071	2882
271	1074	2876
272	1077	2869
273	1080	2863
274	1083	2856
275	1086	2850
276	1089	2844
277	1092	2837
278	1095	2830
279	1098	2823
280	1100	2817
281	1103	2810
282	1106	2804
283	1109	2797
284	1112	2791
285	1115	2785
286	1118	2778
287	1121	2772
288	1124	2766
289	1128	2762
290	1131	2756
291	1134	2750
292	1137	2744
293	1140	2737
294	1142	2731
295	1145	2724
296	1148	2718
297	1151	2711
298	1153	2705
299	1156	2698
300	1159	2693
301	1162	2687
302	1165	2681
303	1168	2675
304	1171	2668
305	1174	2662
306	1176	2656
307	1179	2649
308	1182	2644
309	1185	2638
310	1188	2632
311	1191	2626
312	1194	2621
313	1197	2615
314	1200	2610
315	1203	2604
316	1205	2598
317	1209	2593
318	1212	2587
319	1215	2582
320	1218	2576
321	1221	2571
322	1224	2565
323	1227	2560
324	1230	2556
325	1234	2551
326	1236	2545
327	1239	2540
328	1242	2534
329	1245	2529
330	1248	2524
331	1251	2518
332	1254	2512
333	1257	2507
334	1260	2502
335	1263	2496
336	1266	2490
337	1269	2485
338	1272	2480
339	1274	2474
340	1277	2469
341	1280	2464
342	1283	2459
343	1286	2453
344	1289	2447
345	1292	2442
346	1295	2437
347	1298	2432
348	1301	2427
349	1304	2421
350	1307	2417
351	1310	2412
352	1313	2406
353	1316	2401
354	1318	2396
355	1321	2390
356	1324	2385
357	1327	2380
358	1330	2375
359	1332	2369
360	1335	2364
361	1338	2359
362	1341	2354
363	1344	2348
364	1347	2343
365	1349	2338
366	1352	2333
367	1355	2328
368	1358	2323
369	1361	2317
370	1364	2312
371	1366	2307
372	1369	2302
373	1372	2297
374	1375	2292
375	1378	2287
376	1381	2282
377	1384	2277
378	1387	2272
379	1390	2268
380	1392	2262
381	1395	2257
382	1398	2253
383	1401	2248
384	1404	2243
385	1407	2238
386	1410	2233
387	1412	2228
388	1416	2224
389	1419	2219
390	1422	2215
391	1425	2210
392	1428	2206
393	1432	2203
394	1435	2198
395	1438	2194
396	1441	2189
397	1444	2185
398	1448	2181
399	1451	2176
400	1454	2172
401	1457	2167
402	1460	2162
403	1463	2158
404	1466	2153
405	1468	2149
406	1471	2144
407	1474	2139
408	1477	2135
409	1480	2130
410	1483	2125
411	1486	2121
412	1488	2116
413	1491	2111
414	1494	2106
415	1497	2102
416	1500	2097
417	1503	2092
418	1506	2088
419	1509	2083
420	1511	2079
421	1514	2074
422	1517	2070
423	1520	2065
424	1523	2061
425	1527	2057
426	1530	2053
427	1533	2049
428	1536	2044
429	1539	2040
430	1542	2035
431	1545	2031
432	1547	2026
433	1550	2022
434	1553	2017
435	1556	2012
436	1559	2008
437	1561	2003
438	1564	1999
439	1567	1994
440	1570	1990
441	1573	1986
442	1576	1982
443	1579	1978
444	1582	1974
445	1585	1969
446	1589	1966
447	1592	1961
448	1595	1957
449	1598	1953
450	1601	1949
451	1604	1945
452	1607	1941
453	1610	1937
454	1613	1932
455	1616	1928
456	1620	1924
457	1623	1920
458	1626	1917
459	1629	1913
460	1632	1909
461	1636	1905
462	1639	1901
463	1642	1896
464	1644	1892
465	1647	1888
466	1651	1884
467	1654	1880
468	1657	1876
469	1660	1871
470	1663	1867
471	1666	1863
472	1669	1859
473	1672	1855
474	1675	1851
475	1678	1847
476	1681	1843
477	1684	1839
478	1687	1835
479	1690	1831
480	1693	1827
481	1696	1823
482	1699	1819
483	1702	1815
484	1705	1810
485	1708	1806
486	1711	1802
487	1714	1798
488	1716	1794
489	1720	1790
490	1722	1785
491	1725	1781
492	1728	1777
493	1731	1773
494	1734	1769
495	1737	1765
496	1740	1761
497	1743	1758
498	1747	1754
499	1750	1750
500	1753	1746
501	1756	1742
502	1759	1738
503	1762	1734
504	1765	1730
505	1768	1726
506	1771	1722
507	1774	1718
508	1776	1714
509	1779	1709
510	1782	1705
511	1785	1701
512	1787	1697
513	1790	1693
514	1794	1689
515	1797	1685
516	1800	1681
517	1803	1678
518	1806	1674
519	1809	1669
520	1811	1665
521	1814	1661
522	1817	1657
523	1820	1654
524	1824	1650
525	1827	1646
526	1830	1643
527	1833	1639
528	1837	1635
529	1840	1631
530	1843	1628
531	1846	1624
532	1849	1620
533	1852	1616
534	1855	1613
535	1858	1608
536	1861	1604
537	1864	1601
538	1867	1597
539	1870	1593
540	1873	1589
541	1876	1585
542	1879	1582
543	1882	1578
544	1885	1574
545	1888	1570
546	1891	1566
547	1894	1562
548	1897	1559
549	1900	1555
550	1904	1551
551	1906	1547
552	1909	1543
553	1912	1539
554	1915	1535
555	1918	1532
556	1921	1528
557	1924	1524
558	1927	1520
559	1929	1516
560	1932	1512
561	1935	1508
562	1938	1504
563	1941	1500
564	1944	1497
565	1947	1493
566	1950	1489
567	1952	1485
568	1955	1481
569	1958	1477
570	1961	1473
571	1963	1469
572	1966	1465
573	1969	1461
574	1972	1457
575	1975	1454
576	1978	1450
577	1981	1446
578	1983	1442
579	1987	1438
580	1989	1435
581	1992	1431
582	1995	1427
583	1998	1423
584	2001	1420
585	2004	1416
586	2007	1412
587	2010	1408
588	2013	1404
589	2016	1400
590	2018	1397
591	2021	1393
592	2024	1389
593	2028	1386
594	2031	1382
595	2034	1379
596	2037	1375
597	2040	1371
598	2043	1367
599	2046	1364
600	2049	1360
601	2052	1357
602	2055	1353
603	2058	1349
604	2061	1345
605	2064	1342
606	2067	1338
607	2070	1335
608	2073	1331
609	2076	1327
610	2079	1323
611	2082	1320
612	2085	1316
613	2088	1313
614	2091	1309
615	2094	1305
616	2097	1302
617	2100	1298
618	2103	1294
619	2106	1290
620	2109	1287
621	2112	1283
622	2115	1279
623	2117	1276
624	2120	1272
625	2123	1268
626	2126	1265
627	2129	1261
628	2132	1257
629	2135	1254
630	2138	1250
631	2141	1247
632	2144	1243
633	2147	1239
634	2150	1236
635	2153	1232
636	2156	1229
637	2159	1225
638	2163	1222
639	2166	1218
640	2168	1214
641	2171	1211
642	2174	1207
643	2178	1203
644	2181	1200
645	2184	1196
646	2187	1193
647	2190	1190
648	2193	1186
649	2197	1183
650	2200	1179
651	2203	1176
652	2206	1172
653	2209	1168
654	2212	1165
655	2215	1161
656	2218	1158
657	2221	1154
658	2224	1151
659	2228	1147
660	2231	1144
661	2249	1148
662	2252	1145
663	2256	1141
664	2259	1138
665	2262	1134
666	2265	1130
667	2268	1127
668	2271	1123
669	2274	1120
670	2277	1116
671	2281	1113
672	2284	1109
673	2287	1106
674	2290	1103
675	2294	1099
676	2297	1096
677	2301	1092
678	2304	1089
679	2308	1086
680	2311	1082
681	2315	1079
682	2318	1076
683	2321	1072
684	2325	1069
685	2328	1065
686	2331	1062
687	2334	1058
688	2338	1055
689	2341	1051
690	2344	1048
691	2347	1044
692	2350	1041
693	2353	1037
694	2356	1034
695	2359	1030
696	2362	1027
697	2365	1023
698	2368	1020
699	2372	1016
700	2375	1013
701	2378	1009
702	2381	1006
703	2385	1002
704	2388	999
705	2392	996
706	2395	992
707	2398	989
708	2401	985
709	2404	982
710	2407	978
711	2410	975
712	2414	971
713	2417	968
714	2420	964
715	2424	961
716	2427	958
717	2430	954
718	2434	951
719	2437	948
720	2441	944
721	2444	941
722	2447	937
723	2451	934
724	2454	930
725	2457	927
726	2460	923
727	2463	920
728	2466	917
729	2469	913
730	2473	910
731	2476	906
732	2480	903
733	2483	900
734	2486	896
735	2490	893
736	2493	889
737	2496	886
738	2500	882
739	2503	879
740	2506	876
741	2509	872
742	2513	869
743	2516	866
744	2520	862
745	2524	859
746	2527	856
747	2531	852
748	2534	849
749	2537	845
750	2540	842
751	2544	839
752	2547	835
753	2550	832
754	2553	828
755	2557	825
756	2560	821
757	2563	818
758	2567	815
759	2570	811
760	2574	808
761	2577	805
762	2580	801
763	2584	798
764	2588	795
765	2591	791
766	2595	788
767	2598	784
768	2601	781
769	2605	778
770	2608	774
771	2611	771
772	2614	767
773	2618	764
774	2622	761
775	2626	758
776	2630	754
777	2633	751
778	2636	748
779	2640	744
780	2643	741
781	2647	738
782	2650	734
783	2654	731
784	2657	727
785	2660	724
786	2663	720
787	2666	717
788	2669	713
789	2673	710
790	2677	707
791	2680	703
792	2683	700
793	2687	697
794	2690	693
795	2693	690
796	2696	686
797	2699	683
798	2702	679
799	2706	676
800	2709	673
801	2713	669
802	2716	666
803	2720	663
804	2723	659
805	2727	656
806	2730	653
807	2734	649
808	2737	646
809	2740	642
810	2743	639
811	2746	635
812	2749	632
813	2753	629
814	2756	625
815	2759	622
816	2762	618
817	2765	615
818	2769	611
819	2772	608
820	2775	605
821	2778	601
822	2781	598
823	2784	594
824	2787	591
825	2791	588
826	2794	584
827	2797	581
828	2801	577
829	2805	574
830	2808	571
831	2812	567
832	2815	564
833	2818	561
834	2821	557
835	2825	554
836	2828	550
837	2832	547
838	2836	544
839	2839	540
840	2843	537
841	2847	534
842	2850	530
843	2854	527
844	2857	524
845	2861	520
846	2864	517
847	2867	513
848	2870	510
849	2874	507
850	2877	503
851	2881	500
852	2884	497
853	2886	493
854	2890	490
855	2893	486
856	2896	483
857	2899	479
858	2903	476
859	2906	473
860	2909	469
861	2912	466
862	2915	462
863	2919	459
864	2922	456
865	2926	452
866	2929	449
867	2932	445
868	2935	442
869	2939	439
870	2942	435
871	2945	432
872	2948	428
873	2951	425
874	2954	422
875	2957	418
876	2960	415
877	2963	411
878	2966	408
879	2969	404
880	2972	401
881	2976	398
882	2979	394
883	2982	391
884	2986	388
885	2989	384
886	2992	381
887	2995	377
888	2998	374
889	3001	370
890	3004	367
891	3007	364
892	3011	360
893	3014	357
894	3017	354
895	3021	350
896	3024	347
897	3028	343
898	3031	340
899	3035	337
900	3043	334
901	3046	331
902	3050	327
903	3053	324
904	3056	320
905	3060	317
906	3064	314
907	3067	310
908	3071	307
909	3075	304
910	3078	300
911	3081	297
912	3084	293
913	3087	290
914	3091	287
915	3094	283
916	3098	280
917	3101	277
918	3104	273
919	3107	270
920	3111	266
921	3114	263
922	3118	260
923	3121	256
924	3124	253
925	3127	249
926	3130	246
927	3134	243
928	3138	239
929	3142	236
930	3145	233
931	3149	229
932	3152	226
933	3155	222
934	3158	219
935	3161	216
936	3164	212
937	3167	209
938	3171	206
939	3174	202
940	3177	199
